firm_name,vol_2024H1,vol_2024H2,vol_2025H1,vol_2025H2,pct_change_2025H2_vs_2025H1,pct_change_yoy
Awp P&c S.a.,1698.0,2225.0,1771.0,2042.0,15.3,-8.22
Eui Limited,66719.0,73418.0,70326.0,60221.0,-14.37,-17.98
Society Of Lloyd's,5309.0,4865.0,4972.0,5669.0,14.02,16.53
Tradex Insurance Company PLC,1588.0,2485.0,3465.0,3950.0,14.0,58.95
Paragon Bank PLC,1039.0,1095.0,880.0,1003.0,13.98,-8.4
Home Retail Group Card Services Limited,4398.0,3944.0,4438.0,3824.0,-13.84,-3.04
Ageas Insurance Limited,6073.0,5058.0,5090.0,4403.0,-13.5,-12.95
TSB Bank PLC,25734.0,31883.0,29722.0,33705.0,13.4,5.71
Funding Circle LTD,36.0,36.0,15.0,13.0,-13.33,-63.89
Carole Nash Insurance Consultants Limited,,,3049.0,2650.0,-13.09,
U K Insurance Limited,53474.0,51800.0,42802.0,37282.0,-12.9,-28.03
Axa Insurance Designated Activity Company,2167.0,2047.0,2085.0,1817.0,-12.85,-11.24
Acm Ulr Limited,1247.0,865.0,723.0,636.0,-12.03,-26.47
Vodafone Limited,377.0,290.0,225.0,252.0,12.0,-13.1
Connells Limited,572.0,525.0,543.0,608.0,11.97,15.81
Kensington Mortgage Company Limited,1055.0,992.0,919.0,1029.0,11.97,3.73
Lloyds Bank PLC,72949.0,76760.0,81403.0,90837.0,11.59,18.34
Aldermore Bank PLC,1796.0,1444.0,1633.0,1445.0,-11.51,0.07
Principality Building Society,1237.0,1328.0,1192.0,1059.0,-11.16,-20.26
Forester Life Limited,712.0,502.0,612.0,544.0,-11.11,8.37
Atlanta Insurance Intermediaries Limited,12140.0,9798.0,9569.0,8517.0,-10.99,-13.07
American Express Services Europe Limited,,11273.0,13353.0,14814.0,10.94,31.41
HSBC UK Bank PLC,109178.0,98421.0,91389.0,81503.0,-10.82,-17.19
Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,3102.0,3845.0,3103.0,2771.0,-10.7,-27.93
Axa Ppp Healthcare Limited,41657.0,24510.0,21855.0,19555.0,-10.52,-20.22
Qmetric Group Limited,3280.0,3112.0,4122.0,3696.0,-10.33,18.77
Coutts & Company,1589.0,1776.0,1677.0,1845.0,10.02,3.89
Interactive Investor Services Limited,2590.0,2093.0,2505.0,2756.0,10.02,31.68
Saga Services Limited,16349.0,15359.0,8353.0,7519.0,-9.98,-51.04
Bupa Insurance Services Limited,33137.0,31626.0,31133.0,28091.0,-9.77,-11.18
St. James's Place UK PLC,,,767.0,840.0,9.52,
Financial Administration Services Limited,2347.0,2030.0,1854.0,2028.0,9.39,-0.1
Hastings Insurance Services Limited,18217.0,15998.0,18123.0,19781.0,9.15,23.65
Sabre Insurance Company Limited,681.0,675.0,590.0,644.0,9.15,-4.59
Link Financial Outsourcing Limited,,,11.0,10.0,-9.09,
Amtrust Specialty Limited,,2314.0,2170.0,1976.0,-8.94,-14.61
Liverpool Victoria Financial Services Limited,2345.0,2044.0,2007.0,1828.0,-8.92,-10.57
Hbos Investment Fund Managers Limited,754.0,710.0,734.0,673.0,-8.31,-5.21
Kroo Bank LTD,1083.0,1246.0,893.0,820.0,-8.17,-34.19
Advisory Insurance Brokers Limited,758.0,816.0,708.0,651.0,-8.05,-20.22
Awp Assistance UK LTD,2493.0,2716.0,2911.0,3144.0,8.0,15.76
First Central Insurance Management Limited,10584.0,9224.0,8149.0,8797.0,7.95,-4.63
Rac Financial Services Limited,,,8793.0,9491.0,7.94,
Clydesdale Bank PLC,34377.0,37438.0,31691.0,34185.0,7.87,-8.69
Casualty & General Insurance Company (europe) LTD,,,1114.0,1027.0,-7.81,
Evolution Insurance Company Limited,,,540.0,582.0,7.78,
Skipton Building Society,3679.0,3579.0,5026.0,4641.0,-7.66,29.67
MBNA Limited,10690.0,9081.0,9495.0,8796.0,-7.36,-3.14
Domestic & General Insurance PLC,48821.0,44570.0,60444.0,56025.0,-7.31,25.7
Arthur J. Gallagher Insurance Brokers Limited,1082.0,1047.0,1053.0,977.0,-7.22,-6.69
Coventry Building Society,3964.0,3969.0,4466.0,4145.0,-7.19,4.43
Bisl Limited,11260.0,13571.0,12473.0,11577.0,-7.18,-14.69
Chubb European Group Se,4575.0,4200.0,4134.0,4417.0,6.85,5.17
Qbe UK Limited,944.0,893.0,976.0,910.0,-6.76,1.9
National House-building Council,,570.0,698.0,745.0,6.73,30.7
Accredited Insurance (europe) LTD,5609.0,4219.0,4649.0,4337.0,-6.71,2.8
M & G Securities Limited,852.0,577.0,738.0,786.0,6.5,36.22
Pepper (uk) Limited,763.0,621.0,680.0,723.0,6.32,16.43
The National Farmers' Union Mutual Insurance Society Limited,6774.0,5910.0,5412.0,5076.0,-6.21,-14.11
Reassure Limited,5006.0,4807.0,4747.0,4463.0,-5.98,-7.16
Hargreaves Lansdown Asset Management Limited,5347.0,5703.0,6639.0,7021.0,5.75,23.11
Phoenix Life Limited,13974.0,14030.0,16175.0,17086.0,5.63,21.78
Helvetia Global Solutions LTD,1363.0,1232.0,914.0,965.0,5.58,-21.67
Usay Business LTD,,662.0,666.0,629.0,-5.56,-4.98
Ovo Home Services LTD,,,2067.0,1953.0,-5.52,
Nationwide Building Society,61778.0,63363.0,65786.0,69388.0,5.48,9.51
Simplyhealth Access,1997.0,1988.0,2222.0,2101.0,-5.45,5.68
Allianz Insurance PLC,3395.0,2947.0,2758.0,2908.0,5.44,-1.32
British Gas Services Limited,55282.0,57808.0,51725.0,49016.0,-5.24,-15.21
Barclays Bank PLC,10840.0,9458.0,10982.0,10416.0,-5.15,10.13
Axa Insurance UK PLC,28525.0,20381.0,16910.0,16052.0,-5.07,-21.24
Somerset Bridge Insurance Services Limited,519.0,784.0,1403.0,1472.0,4.92,87.76
Tesco Underwriting Limited,2740.0,2415.0,2550.0,2672.0,4.78,10.64
Automobile Association Insurance Services Limited,11667.0,8063.0,6366.0,6657.0,4.57,-17.44
Xbridge Limited,1061.0,1174.0,1186.0,1240.0,4.55,5.62
The Prudential Assurance Company Limited,10167.0,11295.0,9474.0,9892.0,4.41,-12.42
Aviva Life Services UK Limited,24391.0,23862.0,25086.0,26131.0,4.17,9.51
Wesleyan Assurance Society,885.0,731.0,775.0,744.0,-4.0,1.78
Hood Travel Limited,566.0,681.0,740.0,711.0,-3.92,4.41
Canada Life Limited,1107.0,,568.0,546.0,-3.87,
One Call Insurance Services Limited,3202.0,3113.0,3098.0,2980.0,-3.81,-4.27
Santander UK PLC,67816.0,64646.0,62386.0,64741.0,3.77,0.15
National Westminster Bank Public Limited Company,,88461.0,94120.0,97511.0,3.6,10.23
Accord Mortgages Limited,992.0,892.0,918.0,950.0,3.49,6.5
UK Mortgage Lending LTD,656.0,652.0,705.0,682.0,-3.26,4.6
American International Group UK Limited,3167.0,1109.0,925.0,955.0,3.24,-13.89
Bank Of Scotland PLC,78357.0,74404.0,77714.0,79508.0,2.31,6.86
Charter Court Financial Services Limited,2192.0,2022.0,1874.0,1834.0,-2.13,-9.3
Aviva Health UK Limited,1606.0,1337.0,1262.0,1236.0,-2.06,-7.55
Aioi Nissay Dowa Insurance UK Limited,2542.0,2193.0,1585.0,1554.0,-1.96,-29.14
Avantia Insurance Limited,1764.0,1437.0,1122.0,1100.0,-1.96,-23.45
I Go 4 Ltd.,1208.0,890.0,940.0,958.0,1.91,7.64
Call Assist Limited,,,711.0,724.0,1.83,
Lloyds Bank General Insurance Limited,6428.0,5611.0,5782.0,5683.0,-1.71,1.28
Aviva Insurance Limited,48518.0,49190.0,48979.0,49795.0,1.67,1.23
Fortegra Europe Insurance Company LTD,4001.0,3858.0,3743.0,3792.0,1.31,-1.71
Vitality Corporate Services Limited,9239.0,8702.0,10069.0,10197.0,1.27,17.18
The Mortgage Works (uk) PLC,1534.0,1576.0,1463.0,1481.0,1.23,-6.03
Covea Insurance PLC,2243.0,2490.0,2528.0,2497.0,-1.23,0.28
Asurion Europe Limited,1586.0,1431.0,1548.0,1566.0,1.16,9.43
Car Care Plan Limited,978.0,1043.0,886.0,876.0,-1.13,-16.01
Inter Partner Assistance Sa,7928.0,9669.0,8212.0,8125.0,-1.06,-15.97
Reassure Life Limited,979.0,758.0,669.0,663.0,-0.9,-12.53
Northern Bank Limited,1687.0,1536.0,1459.0,1446.0,-0.89,-5.86
U.s. Bank Europe Dac,,1859.0,1732.0,1747.0,0.87,-6.02
Newcastle Building Society,543.0,804.0,707.0,713.0,0.85,-11.32
Zempler Bank Limited,1769.0,1805.0,1507.0,1519.0,0.8,-15.84
The Royal Bank Of Scotland PLC,20286.0,19605.0,20019.0,19884.0,-0.67,1.42
Legal And General Assurance Society Limited,4816.0,4123.0,4437.0,4414.0,-0.52,7.06
Ageas Retail Limited,1096.0,993.0,912.0,909.0,-0.33,-8.46
Elderbridge Limited,974.0,919.0,756.0,758.0,0.26,-17.52
True Potential Wealth Management LLP,,,,1042.0,,
Carfinance247 Limited,146.0,158.0,,199.0,,25.95
Antares Insurance Company Limited,,,,650.0,,
Ebs Pensions Limited,,,,1176.0,,
Reassured Limited,,,,604.0,,
J.p. Morgan Personal Investing Limited,,,,1126.0,,
