reporting_period,firm_name,complaints_opened,weighted_upheld,uphold_rate_weighted,uphold_rate_weighted_pct
2025H2,"Royal London Mutual Insurance Society, Limited (the)",8414.0,5299.7873,0.6299,62.99
2025H2,Sabre Insurance Company Limited,644.0,220.4412,0.3423,34.23
2025H2,Saga Services Limited,7519.0,3942.2117,0.5243,52.43
2025H2,Sainsbury's Bank PLC,1602.0,783.5168000000001,0.4891,48.91
2025H2,Santander UK PLC,64741.0,29981.702100000002,0.4631,46.31
2025H2,Scottish Equitable PLC,5420.0,3591.2520999999997,0.6626,66.26
2025H2,Scottish Friendly Assurance Society Limited,985.0,680.5525,0.6909,69.09
2025H2,Scottish Widows Limited,7762.0,6466.9462,0.8332,83.32
2025H2,Secure Trust Bank Public Limited Company,315.0,108.612,0.3448,34.48
2025H2,Shawbrook Bank Limited,1280.0,750.2526,0.5861,58.61
2025H2,Shop Direct Finance Company Limited,87.0,26.97,0.31,31.0
2025H2,Simplyhealth Access,2101.0,611.6011000000001,0.2911,29.11
2025H2,Skipton Building Society,4641.0,3381.1473,0.7285,72.85
2025H2,Society Of Lloyd's,5669.0,2255.1282,0.3978,39.78
2025H2,Somerset Bridge Insurance Services Limited,1472.0,543.0208,0.3689,36.89
2025H2,St. James's Place UK PLC,840.0,526.5113,0.6268,62.68
2025H2,St. James's Place Wealth Management PLC,3725.0,1673.6120999999998,0.4493,44.93
2025H2,Starling Bank Limited,17323.0,7100.6977,0.4099,40.99
2025H2,Starr International (europe) Limited,1075.0,474.505,0.4414,44.14
2025H2,Swift 1st Limited,636.0,94.128,0.148,14.8
2025H2,TSB Bank PLC,33705.0,17654.376399999997,0.5238,52.38
2025H2,Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,2771.0,1589.7227,0.5737,57.37
2025H2,Telefonica UK Limited,314.0,257.1032,0.8188,81.88
2025H2,Tesco Personal Finance Limited,4861.0,1823.8472,0.3752,37.52
2025H2,Tesco Underwriting Limited,2672.0,1333.0608,0.4989,49.89
2025H2,The Co-operative Bank P.l.c.,9622.0,6234.7834,0.648,64.8
2025H2,The Mortgage Works (uk) PLC,1481.0,777.525,0.525,52.5
2025H2,The National Farmers' Union Mutual Insurance Society Limited,5076.0,3165.1832,0.6236,62.36
2025H2,The Prudential Assurance Company Limited,9892.0,8488.724400000001,0.8581,85.81
2025H2,The Royal Bank Of Scotland PLC,19884.0,11641.431999999999,0.5855,58.55
2025H2,Topaz Finance Limited,3173.0,1187.0193,0.3741,37.41
2025H2,Tradex Insurance Company PLC,3950.0,2460.06,0.6228,62.28
2025H2,Trading 212 UK Limited,2204.0,234.3536,0.1063,10.63
2025H2,True Potential Wealth Management LLP,1038.0,175.2277,0.1688,16.88
2025H2,U K Insurance Limited,37282.0,25142.9808,0.6744,67.44
2025H2,U.s. Bank Europe Dac,1747.0,266.4175,0.1525,15.25
2025H2,UK Mortgage Lending LTD,682.0,352.1166,0.5163,51.63
2025H2,Ubs Ag,548.0,345.3582,0.6302,63.02
2025H2,Usay Business LTD,629.0,122.27759999999999,0.1944,19.44
2025H2,Utility Warehouse Limited,2188.0,690.314,0.3155,31.55
2025H2,"Vanguard Asset Management, Ltd.",1644.0,894.5471,0.5441,54.41
2025H2,Vanquis Bank Limited,18304.0,5480.2176,0.2994,29.94
2025H2,Vitality Corporate Services Limited,10197.0,5177.0169000000005,0.5077,50.77
2025H2,Vodafone Limited,252.0,138.4488,0.5494,54.94
2025H2,Volkswagen Financial Services (uk) Limited,15.0,0.0,0.0,0.0
2025H2,Wesleyan Assurance Society,744.0,670.5787,0.9013,90.13
2025H2,West Bay Insurance PLC,507.0,338.3211,0.6673,66.73
2025H2,Xbridge Limited,1240.0,490.792,0.3958,39.58
2025H2,Yorkshire Building Society,2373.0,1749.1009,0.7371,73.71
2025H2,Zempler Bank Limited,1519.0,652.8662,0.4298,42.98
2025H2,Zopa Bank Limited,6391.0,2675.6821,0.4187,41.87
2025H2,Zurich Assurance LTD,2896.0,1294.0872000000002,0.4469,44.69
2025H2,Zurich Insurance Company LTD,3407.0,2037.0453,0.5979,59.79
