reporting_period,firm_name,total_complaints,period_order,complaint_share_pct,prev_period_val,abs_change,pct_change
2024H2,Pepper (uk) Limited,621.0,1,0.04,763.0,-142.0,-18.61
2025H1,Pepper (uk) Limited,680.0,2,0.04,621.0,59.0,9.5
2025H2,Pepper (uk) Limited,723.0,3,0.04,680.0,43.0,6.32
2024H2,Phoenix Life Ca Limited,1042.0,1,0.06,,,
2025H1,Phoenix Life Ca Limited,1094.0,2,0.06,1042.0,52.0,4.99
2025H2,Phoenix Life Ca Limited,892.0,3,0.05,1094.0,-202.0,-18.46
2024H1,Phoenix Life Limited,13974.0,0,0.79,,,
2024H2,Phoenix Life Limited,14030.0,1,0.83,13974.0,56.0,0.4
2025H1,Phoenix Life Limited,16175.0,2,0.93,14030.0,2145.0,15.29
2025H2,Phoenix Life Limited,17086.0,3,1.03,16175.0,911.0,5.63
2024H2,Pinnacle Insurance Limited,2410.0,1,0.14,,,
2025H1,Pinnacle Insurance Limited,2817.0,2,0.16,2410.0,407.0,16.89
2025H2,Pinnacle Insurance Limited,3405.0,3,0.21,2817.0,588.0,20.87
2024H1,Pinnacle Insurance PLC,2528.0,0,0.14,,,
2024H2,Post Office Management Services Limited,617.0,1,0.04,,,
2024H1,Prestige Underwriting Services LTD,507.0,0,0.03,,,
2024H1,Principality Building Society,1237.0,0,0.07,,,
2024H2,Principality Building Society,1328.0,1,0.08,1237.0,91.0,7.36
2025H1,Principality Building Society,1192.0,2,0.07,1328.0,-136.0,-10.24
2025H2,Principality Building Society,1059.0,3,0.06,1192.0,-133.0,-11.16
2024H1,Qbe UK Limited,944.0,0,0.05,,,
2024H2,Qbe UK Limited,893.0,1,0.05,944.0,-51.0,-5.4
2025H1,Qbe UK Limited,976.0,2,0.06,893.0,83.0,9.29
2025H2,Qbe UK Limited,910.0,3,0.06,976.0,-66.0,-6.76
2024H1,Qmetric Group Limited,3280.0,0,0.18,,,
2024H2,Qmetric Group Limited,3112.0,1,0.18,3280.0,-168.0,-5.12
2025H1,Qmetric Group Limited,4122.0,2,0.24,3112.0,1010.0,32.46
2025H2,Qmetric Group Limited,3696.0,3,0.22,4122.0,-426.0,-10.33
2024H2,Quilter Financial Services Limited,680.0,1,0.04,,,
2025H1,Quilter Financial Services Limited,965.0,2,0.06,680.0,285.0,41.91
2025H2,Quilter Financial Services Limited,580.0,3,0.04,965.0,-385.0,-39.9
2024H1,Quilter Investment Platform Limited,610.0,0,0.03,,,
