reporting_period,firm_name,product_group,complaints_opened,denominator,complaint_rate_per_1k,denominator_unit
2024H2,Barclays Bank PLC,Banking and credit cards,8336.0,6.63,1257.3152,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Barclays Bank PLC,Home finance,3.0,3.5,0.8571,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Barclays Bank PLC,Investments,1105.0,2.09,528.7081,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Barclays Bank UK PLC,Banking and credit cards,62061.0,1.71,36292.9825,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Barclays Bank UK PLC,Home finance,6445.0,7.42,868.5984,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Barclays Bank UK PLC,Insurance & pure protection,181.0,0.83,218.0723,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Bisl Limited,Insurance & pure protection,13571.0,6.06,2239.4389,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,British Gas Services Limited,Insurance & pure protection,57808.0,10.5,5505.5238,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Bupa Insurance Services Limited,Insurance & pure protection,31626.0,9.37,3375.2401,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Call Assist LTD,Insurance & pure protection,644.0,2.85,225.9649,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Capital Home Loans Limited,Home finance,515.0,32.2,15.9938,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Capital One (europe) PLC,Banking and credit cards,23660.0,4.59,5154.6841,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Car Care Plan Limited,Insurance & pure protection,1043.0,1.18,883.8983,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Carole Nash Insurance Consultants LTD,Insurance & pure protection,3087.0,5.99,515.3589,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Castelan Limited,Insurance & pure protection,541.0,0.41,1319.5122,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Charter Court Financial Services Limited,Banking and credit cards,735.0,2.64,278.4091,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Charter Court Financial Services Limited,Home finance,1287.0,18.33,70.2128,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Chubb European Group Se,Insurance & pure protection,4200.0,0.69,6086.9565,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Citibank UK Limited,Banking and credit cards,730.0,99.24,7.3559,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Citibank UK Limited,Investments,25.0,13.29,1.8811,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Clearbank Limited,Banking and credit cards,3540.0,2.13,1661.9718,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Clydesdale Bank PLC,Banking and credit cards,35191.0,4.2,8378.8095,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Clydesdale Bank PLC,Home finance,2185.0,6.68,327.0958,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Clydesdale Bank PLC,Insurance & pure protection,7.0,0.07,100.0,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Cofunds Limited,Decumulation & pensions,106.0,5.04,21.0317,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Cofunds Limited,Investments,886.0,1.12,791.0714,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Complete Cover Group LTD,Insurance & pure protection,963.0,22.23,43.3198,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Corgi Homeplan LTD,Insurance & pure protection,1809.0,6.31,286.6878,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Countrywide Assured PLC,Decumulation & pensions,413.0,1.53,269.9346,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Countrywide Assured PLC,Insurance & pure protection,184.0,1.46,126.0274,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Countrywide Assured PLC,Investments,67.0,0.29,231.0345,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coutts & Company,Banking and credit cards,1570.0,5.43,289.1344,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coutts & Company,Decumulation & pensions,20.0,4.25,4.7059,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coutts & Company,Home finance,92.0,7.92,11.6162,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coutts & Company,Insurance & pure protection,14.0,0.93,15.0538,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coutts & Company,Investments,80.0,1.66,48.1928,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Covea Insurance PLC,Insurance & pure protection,2490.0,1.87,1331.5508,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coventry Building Society,Banking and credit cards,3246.0,1.23,2639.0244,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Coventry Building Society,Home finance,722.0,2.04,353.9216,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Creation Consumer Finance LTD,Banking and credit cards,5621.0,2.27,2476.2115,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Creation Financial Services Limited,Banking and credit cards,519.0,6.42,80.8411,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Creation Financial Services Limited,Insurance & pure protection,1.0,0.51,1.9608,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Cynergy Bank PLC,Banking and credit cards,900.0,4.9,183.6735,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Cynergy Bank PLC,Home finance,7.0,2.29,3.0568,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Domestic & General Insurance PLC,Insurance & pure protection,44570.0,3.89,11457.5835,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Elderbridge Limited,Home finance,917.0,50.82,18.0441,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Embark Investment Services Limited,Decumulation & pensions,381.0,3.37,113.0564,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Embark Investment Services Limited,Investments,374.0,1.03,363.1068,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Equiniti Financial Services Limited,Decumulation & pensions,8.0,18.22,0.4391,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Equiniti Financial Services Limited,Investments,2091.0,0.35,5974.2857,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Ergo Travel Insurance Services LTD,Insurance & pure protection,3011.0,1.25,2408.8,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Esure Insurance Limited,Insurance & pure protection,16080.0,3.9,4123.0769,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Eui Limited,Insurance & pure protection,73418.0,4.4,16685.9091,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Exeter Friendly Society Limited,Insurance & pure protection,1162.0,7.39,157.2395,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Extracover Limited,Insurance & pure protection,519.0,0.08,6487.5,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Financial Administration Services Limited,Decumulation & pensions,710.0,3.98,178.392,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Financial Administration Services Limited,Investments,1320.0,1.38,956.5217,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,First Central Insurance Management Limited,Insurance & pure protection,9224.0,6.24,1478.2051,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Forester Life Limited,Decumulation & pensions,12.0,0.84,14.2857,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Forester Life Limited,Insurance & pure protection,33.0,0.74,44.5946,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Forester Life Limited,Investments,457.0,0.4,1142.5,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Forsakringsaktiebolaget Agria (publ),Insurance & pure protection,674.0,2.87,234.8432,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Fortegra Europe Insurance Company LTD,Insurance & pure protection,3858.0,0.91,4239.5604,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,HSBC UK Bank PLC,Banking and credit cards,91184.0,3.28,27800.0,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,HSBC UK Bank PLC,Decumulation & pensions,29.0,0.09,322.2222,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,HSBC UK Bank PLC,Home finance,5656.0,5.88,961.9048,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,HSBC UK Bank PLC,Insurance & pure protection,469.0,0.06,7816.6667,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,HSBC UK Bank PLC,Investments,1083.0,0.99,1093.9394,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Halifax Share Dealing Limited,Decumulation & pensions,11.0,2.03,5.4187,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Halifax Share Dealing Limited,Investments,551.0,0.83,663.8554,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Hargreaves Lansdown Asset Management Limited,Decumulation & pensions,2594.0,3.16,820.8861,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Hargreaves Lansdown Asset Management Limited,Investments,3109.0,0.95,3272.6316,thousands of relevant accounts/policies (FCA Context - Provision)
