reporting_period,firm_name,product_group,complaints_opened,complaints_closed,closure_rate,pct_closed_3days,pct_closed_3to8weeks
2025H2,The Co-operative Bank P.l.c.,Home finance,1067.0,1128.0,1.0572,0.4122,0.5833
2025H2,The Co-operative Bank P.l.c.,Insurance & pure protection,1.0,2.0,2.0,0.0,1.0
2025H2,The Co-operative Bank P.l.c.,Investments,0.0,0.0,,,
2025H2,The Mortgage Works (uk) PLC,Home finance,1481.0,1522.0,1.0277,0.2339,0.7635
2025H2,The National Farmers' Union Mutual Insurance Society Limited,Decumulation & pensions,74.0,76.0,1.027,0.0132,0.9868
2025H2,The National Farmers' Union Mutual Insurance Society Limited,Insurance & pure protection,4939.0,4864.0,0.9848,0.3863,0.5724
2025H2,The National Farmers' Union Mutual Insurance Society Limited,Investments,63.0,60.0,0.9524,0.0,1.0
2025H2,The Prudential Assurance Company Limited,Decumulation & pensions,6508.0,6617.0,1.0167,0.1232,0.7859
2025H2,The Prudential Assurance Company Limited,Home finance,34.0,40.0,1.1765,0.1,0.35
2025H2,The Prudential Assurance Company Limited,Insurance & pure protection,750.0,785.0,1.0467,0.1274,0.7618
2025H2,The Prudential Assurance Company Limited,Investments,2600.0,2721.0,1.0465,0.1959,0.7211
2025H2,The Royal Bank Of Scotland PLC,Banking and credit cards,18544.0,18093.0,0.9757,0.4656,0.3443
2025H2,The Royal Bank Of Scotland PLC,Decumulation & pensions,6.0,5.0,0.8333,0.0,0.0
2025H2,The Royal Bank Of Scotland PLC,Home finance,1206.0,1215.0,1.0075,0.4905,0.3992
2025H2,The Royal Bank Of Scotland PLC,Insurance & pure protection,26.0,27.0,1.0385,0.1111,0.7037
2025H2,The Royal Bank Of Scotland PLC,Investments,102.0,93.0,0.9118,0.0108,0.7097
2025H2,Topaz Finance Limited,Home finance,3173.0,2978.0,0.9385,0.2965,0.679
2025H2,Tradex Insurance Company PLC,Insurance & pure protection,3950.0,3993.0,1.0109,0.4343,0.5284
2025H2,Trading 212 UK Limited,Banking and credit cards,513.0,538.0,1.0487,0.2546,0.7454
2025H2,Trading 212 UK Limited,Investments,1691.0,1680.0,0.9935,0.2554,0.7435
2025H2,True Potential Wealth Management LLP,Decumulation & pensions,917.0,854.0,0.9313,0.0199,0.8747
2025H2,True Potential Wealth Management LLP,Home finance,1.0,1.0,1.0,,1.0
2025H2,True Potential Wealth Management LLP,Insurance & pure protection,3.0,2.0,0.6667,,1.0
2025H2,True Potential Wealth Management LLP,Investments,121.0,124.0,1.0248,0.0081,0.8548
2025H2,U K Insurance Limited,Insurance & pure protection,37282.0,37663.0,1.0102,0.4741,0.491
2025H2,U.s. Bank Europe Dac,Banking and credit cards,1747.0,1816.0,1.0395,0.2296,0.7665
2025H2,UK Mortgage Lending LTD,Home finance,682.0,643.0,0.9428,0.3421,0.6439
2025H2,Ubs Ag,Banking and credit cards,66.0,70.0,1.0606,0.2286,0.7571
2025H2,Ubs Ag,Decumulation & pensions,6.0,6.0,1.0,0.3333,0.6667
2025H2,Ubs Ag,Home finance,14.0,10.0,0.7143,0.1,0.8
2025H2,Ubs Ag,Investments,462.0,475.0,1.0281,0.5684,0.4168
2025H2,Usay Business LTD,Insurance & pure protection,629.0,607.0,0.965,0.0824,0.9094
2025H2,Utility Warehouse Limited,Insurance & pure protection,2188.0,2016.0,0.9214,0.7951,0.0699
2025H2,"Vanguard Asset Management, Ltd.",Decumulation & pensions,569.0,596.0,1.0475,0.0805,0.6946
2025H2,"Vanguard Asset Management, Ltd.",Investments,1075.0,1128.0,1.0493,0.203,0.6578
2025H2,Vanquis Bank Limited,Banking and credit cards,18304.0,19927.0,1.0887,0.3179,0.6602
2025H2,Vitality Corporate Services Limited,Insurance & pure protection,10197.0,10580.0,1.0376,0.4549,0.4954
2025H2,Vodafone Limited,Insurance & pure protection,252.0,253.0,1.004,0.6126,0.3874
2025H2,Volkswagen Financial Services (uk) Limited,Insurance & pure protection,15.0,22.0,1.4667,0.0,0.0455
2025H2,Wesleyan Assurance Society,Decumulation & pensions,440.0,466.0,1.0591,0.2747,0.6845
2025H2,Wesleyan Assurance Society,Insurance & pure protection,87.0,92.0,1.0575,0.337,0.6196
2025H2,Wesleyan Assurance Society,Investments,217.0,219.0,1.0092,0.3425,0.6393
2025H2,West Bay Insurance PLC,Insurance & pure protection,507.0,547.0,1.0789,0.3144,0.5722
2025H2,Xbridge Limited,Insurance & pure protection,1240.0,1319.0,1.0637,0.113,0.8772
2025H2,Yorkshire Building Society,Banking and credit cards,1832.0,1876.0,1.024,0.3678,0.629
2025H2,Yorkshire Building Society,Home finance,532.0,540.0,1.015,0.1889,0.7944
2025H2,Yorkshire Building Society,Insurance & pure protection,9.0,7.0,0.7778,0.5714,0.4286
2025H2,Yorkshire Building Society,Investments,1.0,1.0,1.0,,1.0
2025H2,Zempler Bank Limited,Banking and credit cards,1519.0,1538.0,1.0125,0.2627,0.7373
2025H2,Zopa Bank Limited,Banking and credit cards,6387.0,6533.0,1.0229,0.4032,0.5953
2025H2,Zopa Bank Limited,Investments,4.0,4.0,1.0,0.0,1.0
2025H2,Zurich Assurance LTD,Banking and credit cards,0.0,0.0,,,
2025H2,Zurich Assurance LTD,Decumulation & pensions,764.0,777.0,1.017,0.2625,0.7143
2025H2,Zurich Assurance LTD,Home finance,3.0,3.0,1.0,0.0,1.0
2025H2,Zurich Assurance LTD,Insurance & pure protection,1851.0,1842.0,0.9951,0.2264,0.7622
2025H2,Zurich Assurance LTD,Investments,278.0,293.0,1.054,0.1741,0.8157
2025H2,Zurich Insurance Company LTD,Insurance & pure protection,3407.0,3211.0,0.9425,0.0909,0.7362
