firm_name,total_complaints_all_periods,complaints_2025H2,complaints_2025H1,complaints_2024H2,complaints_2024H1
Allianz Insurance PLC,12008.0,2908.0,2758.0,2947.0,3395.0
Tradex Insurance Company PLC,11488.0,3950.0,3465.0,2485.0,1588.0
Awp Assistance UK LTD,11264.0,3144.0,2911.0,2716.0,2493.0
Yorkshire Building Society,10888.0,2374.0,2869.0,2386.0,3259.0
Homeserve Membership Limited,10682.0,2358.0,2971.0,2489.0,2864.0
Equiniti Financial Services Limited,10588.0,2875.0,2359.0,2099.0,3255.0
Creation Consumer Finance Limited,10537.0,10537.0,0.0,0.0,0.0
Topaz Finance Limited,10503.0,3173.0,2301.0,2336.0,2693.0
Onesavings Bank PLC,10403.0,2292.0,2737.0,2977.0,2397.0
Tesco Underwriting Limited,10377.0,2672.0,2550.0,2415.0,2740.0
Animal Friends Insurance Services LTD,10171.0,0.0,3055.0,3228.0,3888.0
Munich Re Digital Partners Limited,10151.0,5012.0,3850.0,1289.0,0.0
Interactive Investor Services Limited,9944.0,2756.0,2505.0,2093.0,2590.0
Howserv Limited,9923.0,3281.0,2358.0,2239.0,2045.0
Covea Insurance PLC,9758.0,2497.0,2528.0,2490.0,2243.0
The Co-operative Bank P.l.c.,9622.0,9622.0,0.0,0.0,0.0
Utility Warehouse Limited,9486.0,2188.0,3996.0,2693.0,609.0
American Express Services Europe Limited (aesel),8787.0,0.0,0.0,0.0,8787.0
Astrenska Insurance Limited,8653.0,2862.0,2026.0,1854.0,1911.0
Pinnacle Insurance Limited,8632.0,3405.0,2817.0,2410.0,0.0
"Royal London Mutual Insurance Society, Limited (the)",8414.0,8414.0,0.0,0.0,0.0
Insurance Factory LTD,8370.0,0.0,0.0,4565.0,3805.0
Simplyhealth Access,8308.0,2101.0,2222.0,1988.0,1997.0
Financial Administration Services Limited,8259.0,2028.0,1854.0,2030.0,2347.0
Liverpool Victoria Financial Services Limited,8224.0,1828.0,2007.0,2044.0,2345.0
Axa Insurance Designated Activity Company,8116.0,1817.0,2085.0,2047.0,2167.0
Charter Court Financial Services Limited,7922.0,1834.0,1874.0,2022.0,2192.0
Aioi Nissay Dowa Insurance UK Limited,7874.0,1554.0,1585.0,2193.0,2542.0
Awp P&c S.a.,7736.0,2042.0,1771.0,2225.0,1698.0
Carole Nash Insurance Consultants LTD,7500.0,0.0,0.0,3087.0,4413.0
Adrian Flux Insurance Services Group,7008.0,2518.0,1554.0,1665.0,1271.0
Arag Legal Expenses Insurance Company Limited,6947.0,2976.0,2041.0,1930.0,0.0
Coutts & Company,6887.0,1845.0,1677.0,1776.0,1589.0
Zempler Bank Limited,6600.0,1519.0,1507.0,1805.0,1769.0
Amtrust Specialty Limited,6460.0,1976.0,2170.0,2314.0,0.0
Aldermore Bank PLC,6318.0,1445.0,1633.0,1444.0,1796.0
RBS Collective Investment Funds Limited,6265.0,1342.0,2028.0,1465.0,1430.0
American International Group UK Limited,6156.0,955.0,925.0,1109.0,3167.0
Asurion Europe Limited,6131.0,1566.0,1548.0,1431.0,1586.0
Northern Bank Limited,6128.0,1446.0,1459.0,1536.0,1687.0
The Mortgage Works (uk) PLC,6054.0,1481.0,1463.0,1576.0,1534.0
Shawbrook Bank Limited,5894.0,1280.0,1542.0,1305.0,1767.0
Carole Nash Insurance Consultants Limited,5699.0,2650.0,3049.0,0.0,0.0
Starr International (europe) Limited,5530.0,1075.0,1326.0,1448.0,1681.0
Aviva Health UK Limited,5441.0,1236.0,1262.0,1337.0,1606.0
Avantia Insurance Limited,5423.0,1100.0,1122.0,1437.0,1764.0
U.s. Bank Europe Dac,5338.0,1747.0,1732.0,1859.0,0.0
Marks And Spencer Financial Services PLC,5264.0,5264.0,0.0,0.0,0.0
Ikano Bank Ab (publ),5159.0,879.0,1191.0,1357.0,1732.0
Scottish Friendly Assurance Society Limited,5136.0,985.0,1665.0,1120.0,1366.0
Principality Building Society,4816.0,1059.0,1192.0,1328.0,1237.0
Trading 212 UK Limited,4679.0,2204.0,1624.0,851.0,0.0
Xbridge Limited,4661.0,1240.0,1186.0,1174.0,1061.0
Helvetia Global Solutions LTD,4474.0,965.0,914.0,1232.0,1363.0
Aj Bell Securities Limited,4384.0,1500.0,1233.0,959.0,692.0
Acromas Insurance Company Limited,4286.0,1840.0,2446.0,0.0,0.0
Somerset Bridge Insurance Services Limited,4178.0,1472.0,1403.0,784.0,519.0
Arthur J. Gallagher Insurance Brokers Limited,4159.0,977.0,1053.0,1047.0,1082.0
Family Equity Plan Limited,4139.0,908.0,1194.0,830.0,1207.0
Aj Bell Management Limited,4119.0,1051.0,1350.0,955.0,763.0
"Vanguard Asset Management, Ltd.",4096.0,1644.0,2452.0,0.0,0.0
Kroo Bank LTD,4042.0,820.0,893.0,1246.0,1083.0
Ovo Home Services LTD,4020.0,1953.0,2067.0,0.0,0.0
Paragon Bank PLC,4017.0,1003.0,880.0,1095.0,1039.0
Exeter Friendly Society Limited,4015.0,1050.0,1294.0,1162.0,509.0
I Go 4 Ltd.,3996.0,958.0,940.0,890.0,1208.0
Kensington Mortgage Company Limited,3995.0,1029.0,919.0,992.0,1055.0
Insurance Factory Limited,3974.0,1266.0,2708.0,0.0,0.0
Ageas Retail Limited,3910.0,909.0,912.0,993.0,1096.0
"Vanguard Asset Management, LTD",3876.0,0.0,0.0,1741.0,2135.0
Cofunds Limited,3861.0,772.0,1026.0,992.0,1071.0
Car Care Plan Limited,3783.0,876.0,886.0,1043.0,978.0
Corgi Homeplan LTD,3765.0,0.0,0.0,1809.0,1956.0
Accord Mortgages Limited,3752.0,950.0,918.0,892.0,992.0
Qbe UK Limited,3723.0,910.0,976.0,893.0,944.0
Animal Friends Insurance Services Limited,3482.0,3482.0,0.0,0.0,0.0
Acm Ulr Limited,3471.0,636.0,723.0,865.0,1247.0
Elderbridge Limited,3407.0,758.0,756.0,919.0,974.0
Cynergy Bank PLC,3361.0,701.0,1049.0,907.0,704.0
Interactive Brokers (u.k.) Limited,3333.0,1116.0,927.0,617.0,673.0
Complete Cover Group LTD,3328.0,560.0,905.0,963.0,900.0
Swift 1st Limited,3258.0,636.0,867.0,843.0,912.0
Embark Investment Services Limited,3243.0,759.0,628.0,755.0,1101.0
Quilter Life & Pensions Limited,3217.0,1076.0,709.0,633.0,799.0
Metlife Europe D.a.c.,3185.0,1126.0,808.0,750.0,501.0
Wesleyan Assurance Society,3135.0,744.0,775.0,731.0,885.0
Reassure Life Limited,3069.0,663.0,669.0,758.0,979.0
Phoenix Life Ca Limited,3028.0,892.0,1094.0,1042.0,0.0
M & G Securities Limited,2953.0,786.0,738.0,577.0,852.0
Lenvi Servicing Limited,2949.0,0.0,756.0,813.0,1380.0
Advisory Insurance Brokers Limited,2933.0,651.0,708.0,816.0,758.0
Hbos Investment Fund Managers Limited,2871.0,673.0,734.0,710.0,754.0
Pepper (uk) Limited,2787.0,723.0,680.0,621.0,763.0
Virgin Money Unit Trust Managers LTD,2776.0,0.0,910.0,1866.0,0.0
Newcastle Building Society,2767.0,713.0,707.0,804.0,543.0
Action 365 LTD,2752.0,0.0,789.0,966.0,997.0
Hood Travel Limited,2698.0,711.0,740.0,681.0,566.0
UK Mortgage Lending LTD,2695.0,682.0,705.0,652.0,656.0
Citibank UK Limited,2597.0,0.0,0.0,755.0,1842.0
Sabre Insurance Company Limited,2590.0,644.0,590.0,675.0,681.0
Affinity Insurance Solutions Limited,2590.0,0.0,663.0,806.0,1121.0
Nutmeg Saving And Investment Limited,2550.0,0.0,1119.0,772.0,659.0
Pinnacle Insurance PLC,2528.0,0.0,0.0,0.0,2528.0
Halifax Share Dealing Limited,2495.0,541.0,686.0,562.0,706.0
Forester Life Limited,2370.0,544.0,612.0,502.0,712.0
Acorn Insurance & Financial Services LTD,2261.0,0.0,805.0,823.0,633.0
Connells Limited,2248.0,608.0,543.0,525.0,572.0
Quilter Financial Services Limited,2225.0,580.0,965.0,680.0,0.0
Canada Life Limited,2221.0,546.0,568.0,0.0,1107.0
Elavon Financial Services Designated Activity Company,2221.0,0.0,0.0,0.0,2221.0
Extracover Limited,2194.0,1114.0,0.0,519.0,561.0
Aviva Protection UK Limited,2144.0,760.0,642.0,742.0,0.0
Casualty & General Insurance Company (europe) LTD,2141.0,1027.0,1114.0,0.0,0.0
Landmark Mortgages Limited,2137.0,0.0,604.0,751.0,782.0
Countrywide Assured PLC,2127.0,787.0,676.0,664.0,0.0
St James's Place UK PLC,2069.0,0.0,0.0,723.0,1346.0
Amtrust Europe Limited,2046.0,0.0,0.0,0.0,2046.0
National House-building Council,2013.0,745.0,698.0,570.0,0.0
Usay Business LTD,1957.0,629.0,666.0,662.0,0.0
Rothesay Life PLC,1954.0,553.0,725.0,676.0,0.0
Das Legal Expenses Insurance Company Limited,1947.0,0.0,0.0,0.0,1947.0
James Hay Administration Company LTD,1913.0,0.0,0.0,1179.0,734.0
Janus Henderson Fund Management UK Limited,1902.0,0.0,569.0,541.0,792.0
London And Country Mortgages LTD,1883.0,0.0,633.0,635.0,615.0
Highway Insurance Company Limited,1860.0,611.0,744.0,505.0,0.0
Castelan Limited,1835.0,742.0,552.0,541.0,0.0
Reassured LTD,1742.0,0.0,556.0,579.0,607.0
